Hour,Type,Value
14.25,A2_L-Arabinose,87
14.5,A2_L-Arabinose,89
14.75,A2_L-Arabinose,91
15.0,A2_L-Arabinose,87
15.25,A2_L-Arabinose,86
15.5,A2_L-Arabinose,95
15.75,A2_L-Arabinose,101
16.0,A2_L-Arabinose,92
16.25,A2_L-Arabinose,92
16.5,A2_L-Arabinose,90
16.75,A2_L-Arabinose,97
17.0,A2_L-Arabinose,95
17.25,A2_L-Arabinose,97
17.5,A2_L-Arabinose,102
17.75,A2_L-Arabinose,103
18.0,A2_L-Arabinose,103
18.25,A2_L-Arabinose,101
18.5,A2_L-Arabinose,104
18.75,A2_L-Arabinose,109
19.0,A2_L-Arabinose,110
19.25,A2_L-Arabinose,109
19.5,A2_L-Arabinose,108
19.75,A2_L-Arabinose,114
20.0,A2_L-Arabinose,113
20.25,A2_L-Arabinose,113
20.5,A2_L-Arabinose,112
20.75,A2_L-Arabinose,116
21.0,A2_L-Arabinose,115
21.25,A2_L-Arabinose,117
21.5,A2_L-Arabinose,120
21.75,A2_L-Arabinose,123
22.0,A2_L-Arabinose,121
22.25,A2_L-Arabinose,127
22.5,A2_L-Arabinose,125
22.75,A2_L-Arabinose,121
23.0,A2_L-Arabinose,128
23.25,A2_L-Arabinose,126
23.5,A2_L-Arabinose,130
23.75,A2_L-Arabinose,134
24.0,A2_L-Arabinose,134
24.25,A2_L-Arabinose,133
24.5,A2_L-Arabinose,139
24.75,A2_L-Arabinose,135
25.0,A2_L-Arabinose,138
25.25,A2_L-Arabinose,138
25.5,A2_L-Arabinose,143
25.75,A2_L-Arabinose,143
26.0,A2_L-Arabinose,142
26.25,A2_L-Arabinose,144
26.5,A2_L-Arabinose,143
26.75,A2_L-Arabinose,147
27.0,A2_L-Arabinose,149
27.25,A2_L-Arabinose,149
27.5,A2_L-Arabinose,152
27.75,A2_L-Arabinose,155
28.0,A2_L-Arabinose,156
28.25,A2_L-Arabinose,159
28.5,A2_L-Arabinose,157
28.75,A2_L-Arabinose,159
29.0,A2_L-Arabinose,161
29.25,A2_L-Arabinose,163
29.5,A2_L-Arabinose,164
29.75,A2_L-Arabinose,169
30.0,A2_L-Arabinose,164
30.25,A2_L-Arabinose,168
30.5,A2_L-Arabinose,175
30.75,A2_L-Arabinose,167
31.0,A2_L-Arabinose,173
31.25,A2_L-Arabinose,169
31.5,A2_L-Arabinose,174
31.75,A2_L-Arabinose,175
32.0,A2_L-Arabinose,172
32.25,A2_L-Arabinose,175
32.5,A2_L-Arabinose,176
32.75,A2_L-Arabinose,176
33.0,A2_L-Arabinose,182
33.25,A2_L-Arabinose,184
33.5,A2_L-Arabinose,185
33.75,A2_L-Arabinose,185
34.0,A2_L-Arabinose,186
34.25,A2_L-Arabinose,185
34.5,A2_L-Arabinose,191
34.75,A2_L-Arabinose,192
35.0,A2_L-Arabinose,199
