"Wells","sample","OD.k","OD.n0","OD.r","OD.t_mid","OD.t_gen","OD.auc_l","OD.auc_e","OD.sigma","OD.note","OD.AUC","OD.max_gr","OD.max_val"
"bactExtract_Y1P062_PM1_  E12","NA",241.20835500136,11.3736770299977,0.192015686176659,15.6552762218414,3.60984664514458,7623.31168729998,7693.875,20.6376875169972,"",6790.5,1.25485630952972,257
"bactExtract_Y1P062_PM1_  F01","NA",66.8317771546003,16.5242833558902,0.125088744613091,8.9002654395907,5.54124340046663,2432.19848847897,2439.375,5.51280363393632,"",1366.625,1.31425304287516,72
"bactExtract_Y1P062_PM1_  F02","NA",192.897328385638,10.0997030536405,0.206194815490934,14.0443572197986,3.36161304012235,6404.1377204854,6437,15.0390061566494,"",4994.5,1.39347782514594,199
"bactExtract_Y1P062_PM1_  F03","NA",257.147116270003,2.59867074673154,0.228249521615992,20.0854357900561,3.03679576479507,7040.28983511692,7171.375,20.0451229281583,"",6648.875,1.42695685538867,263
"bactExtract_Y1P062_PM1_  F04","NA",80.7890077443215,10.077046077802,0.122059296181222,15.9623612190866,5.6787741880047,2473.65872840541,2481.25,6.61465596773513,"",1493.25,1.62215267842094,86
"bactExtract_Y1P062_PM1_  F05","NA",227.613996431425,7.16560536226629,0.302110954701967,11.3414327204745,2.29434639748081,8206.10975551378,8236.5,17.4139960955631,"",7572.125,3.87830094096762,239
"bactExtract_Y1P062_PM1_  F06","NA",124.673004418891,2.46389968208267,0.441156904233238,8.8494324399009,1.57120329277105,4813.04137756283,4840.625,9.82331349986468,"",4318.125,1.49904386454881,134
"bactExtract_Y1P062_PM1_  F07","NA",250.905473713017,6.05656516487394,0.236188757284142,15.6633132251189,2.93471708192304,7962.6175702581,7999,18.6504246515255,"",7339.5,1.49904386454881,261
"bactExtract_Y1P062_PM1_  F08","NA",33.1177780501716,9.61097767028192,0.172682047624809,5.17936761215035,4.01400834709793,1335.9537326667,1339.25,3.54403227728435,"",516.5,1.41153980059798,40
"bactExtract_Y1P062_PM1_  F09","NA",30.6197503951384,10.7759759185055,0.326467482283042,1.87023565385136,2.12317372533598,1356.48966851234,1361.125,3.49646743431739,"",742.875,1.72344215860602,39
"bactExtract_Y1P062_PM1_  F10","NA",90.1856921890617,14.8152864533053,0.0732841807309189,22.1979036768059,9.45834658512467,2240.05035300978,2249.625,6.39094881323955,"",1632.625,1.30192415556107,87
"bactExtract_Y1P062_PM1_  F11","NA",263.116296378705,9.36659156254094,0.260361519273061,12.6716079506502,2.66224894713796,9127.40275667443,9160.75,20.2152903557617,"",8305,1.47116416449552,281
"bactExtract_Y1P062_PM1_  F12","NA",290.212421305946,13.3121049657043,0.139157704864763,21.8096713111864,4.98101906203156,7415.34910466042,7587.125,26.7522271978276,"",5923.5,0.915531231236019,278
"bactExtract_Y1P062_PM1_  G01","NA",214.675112604203,28.0306987268018,0.079209563791934,23.9353039347324,8.75080163780083,5069.27570996391,5085.625,15.034644450027,"",2639.75,1.15093564163566,204
"bactExtract_Y1P062_PM1_  G02","NA",52.558043601929,18.6730739298947,0.184215164005348,3.23474431305887,3.76270425023112,2201.34230944358,2205.125,5.04731750330982,"",446.375,1.08793086286249,58
"bactExtract_Y1P062_PM1_  G03","NA",268.606597278382,9.06421838216822,0.14922054860596,22.4807200726246,4.64511883273067,6701.08722380568,6786.375,20.1507603120623,"",5538,1.51823201052688,267
"bactExtract_Y1P062_PM1_  G04","NA",266.357577729307,3.61806981766833,0.199283603174197,21.5031358565248,3.47819474116018,6913.67751353277,7013.875,20.1690014449112,"",5899.375,1.31425304287516,272
"bactExtract_Y1P062_PM1_  G05","NA",267.251239272471,5.95619382822414,0.188798306633088,20.027820275263,3.67136333434924,7317.96070765528,7407.625,20.2608824006223,"",6790.625,1.74158604805909,271
